,Rule,Class,Precision,Recall,Coverage
33,(34) if V1 == o and V5 == b and V8 == b and V3 == o and V9 == x then,negative,100.0,0.77,0.26
34,(35) if V1 == b and V9 == x and V5 == x and V7 == x and V3 == x then,positive,100.0,0.59,0.39
35,(36) if V6 == x and V8 == b and V7 == x and V9 == x and V3 == x then,positive,100.0,0.59,0.39
36,(37) if V4 == x and V2 == o and V1 == x and V8 == b and V9 == b and V3 == o then,positive,100.0,0.59,0.39
37,(38) if V1 == b and V9 == o and V3 == o and V7 == o and V5 == x then,positive,100.0,0.59,0.39
38,(39) if V5 == o and V2 == o and V6 == o and V3 == b then,positive,100.0,0.59,0.39
39,(40) if V2 == x and V6 == b and V9 == b and V3 == b then,positive,100.0,0.4,0.26
40,(41) if V1 == x and V7 == x and V6 == x and V5 == b then,positive,100.0,0.4,0.26
41,(42) if V1 == b and V8 == x and V6 == x and V3 == b then,positive,100.0,0.4,0.26
42,(43) if V2 == x and V4 == b and V9 == b and V1 == o and V3 == o then,positive,100.0,0.4,0.26
43,(44) if V7 == x and V1 == x and V4 == x and V8 == x and V2 == b then,positive,100.0,0.4,0.26
44,(45) if V7 == x and V1 == x and V3 == x and V4 == x and V6 == b then,positive,100.0,0.4,0.26
45,(46) if V4 == x and V3 == b and V9 == b and V6 == b then,positive,100.0,0.4,0.26
46,(47) if V7 == x and V1 == x and V9 == x and V4 == x and V6 == b then,positive,100.0,0.4,0.26
47,(48) if V1 == o and V5 == b and V8 == b and V6 == b then,negative,100.0,0.38,0.13
48,(49) if V1 == o and V5 == o and V9 == b and V4 == o then,negative,100.0,0.38,0.13
49,(50) if V2 == b and V4 == x and V9 == b and V7 == b then,positive,100.0,0.2,0.13
50,(51) if V1 == b and V4 == b and V9 == o and V2 == o then,positive,100.0,0.2,0.13
51,(52) if V1 == b and V4 == b and V5 == o and V6 == o then,positive,100.0,0.2,0.13
52,(53) if V6 == x and V7 == x and V2 == b and V9 == b then,positive,100.0,0.2,0.13
53,(54) if V2 == x and V6 == b and V4 == b and V3 == o and V5 == x and V1 == o then,positive,100.0,0.2,0.13
54,(55) if V3 == x and V7 == o and V4 == b and V1 == o and V2 == o then,positive,100.0,0.2,0.13
55,(56) if V1 == b and V6 == b and V2 == b and V4 == b then,positive,100.0,0.2,0.13
56,(57) if V9 == b and V8 == b and V7 == b and V1 == o then,positive,100.0,0.2,0.13
57,(58) if V5 == o and V2 == o and V6 == o and V8 == b and V4 == x then,positive,100.0,0.2,0.13
58,(59) if V3 == x and V7 == o and V5 == o and V2 == b and V9 == x then,positive,83.33,0.4,0.26
59,(60) if V7 == o and V8 == x and V5 == b and V9 == x and V1 == o then,negative,80.0,0.77,0.26
60,(61) if V1 == b and V4 == b and V9 == o and V8 == b then,positive,50.0,0.2,0.13
61,(62) if V1 == b and V9 == o and V3 == o and V8 == o then,positive,50.0,0.2,0.13
62,(63) if V1 == b and V7 == x and V3 == o and V5 == o and V2 == o then,positive,50.0,0.2,0.13
63,(64) if V5 == b and V1 == o and V9 == b then,negative,0.0,3.07,1.04
64,(65) if V2 == b and V4 == x and V7 == x and V8 == b and V1 == x then,positive,0.0,1.78,1.17
65,(66) if V1 == b and V9 == x and V5 == x and V7 == o then,positive,0.0,1.78,1.17
66,(67) if V8 == o and V5 == o and V2 == x and V7 == b and V1 == x then,positive,0.0,1.39,0.91
67,(68) if V8 == x and V6 == x and V1 == x and V7 == x and V4 == o then,negative,0.0,1.15,0.39
68,(69) if V6 == x and V4 == x and V5 == x and V1 == o and V9 == x and V7 == o then,positive,0.0,0.99,0.65
69,(70) if V1 == x and V9 == b and V5 == x and V8 == x then,positive,0.0,0.79,0.52
70,(71) if V5 == o and V1 == o and V7 == o and V4 == o and V9 == x then,negative,0.0,0.77,0.26
71,(72) if V1 == b and V7 == x and V3 == b and V5 == x then,positive,0.0,0.59,0.39
72,(73) if V3 == x and V1 == x and V7 == x and V2 == x and V9 == b then,positive,0.0,0.59,0.39
73,(74) if V1 == b and V5 == o and V6 == b and V4 == o then,positive,0.0,0.59,0.39
74,(75) if V3 == x and V9 == x and V4 == x and V5 == b and V1 == o then,positive,0.0,0.59,0.39
75,(76) if V2 == x and V5 == x and V8 == x and V1 == x and V3 == b and V9 == o then,positive,0.0,0.59,0.39
76,(77) if V1 == b and V9 == o and V4 == b and V7 == b then,positive,0.0,0.4,0.26
77,(78) if V1 == b and V9 == o and V3 == b and V2 == b then,positive,0.0,0.4,0.26
78,(79) if V1 == b and V8 == x and V2 == b and V5 == x and V4 == o then,positive,0.0,0.4,0.26
79,(80) if V1 == b and V4 == b and V6 == b and V3 == b then,positive,0.0,0.4,0.26
80,(81) if V1 == b and V4 == b and V3 == x and V2 == x and V6 == o then,positive,0.0,0.4,0.26
81,(82) if V7 == o and V4 == b and V1 == o and V6 == o then,positive,0.0,0.4,0.26
82,(83) if V3 == x and V7 == o and V5 == o and V1 == b and V2 == o then,positive,0.0,0.4,0.26
83,(84) if V9 == o and V2 == o and V7 == b and V1 == x and V6 == x then,positive,0.0,0.4,0.26
84,(85) if V8 == x and V3 == o and V4 == o and V7 == b and V9 == o then,positive,0.0,0.4,0.26
85,(86) if V2 == o and V4 == x and V8 == x and V6 == x and V1 == x then,positive,0.0,0.4,0.26
86,(87) if V9 == x and V8 == x and V7 == x and V1 == x and V2 == b and V6 == o then,positive,0.0,0.4,0.26
87,(88) if V3 == b and V7 == b and V1 == o and V9 == x then,positive,0.0,0.4,0.26
88,(89) if V5 == b and V1 == o and V9 == o and V2 == o then,negative,0.0,0.38,0.13
89,(90) if V5 == b and V1 == o and V7 == b and V6 == b then,negative,0.0,0.38,0.13
90,(91) if V1 == o and V5 == b and V3 == o and V8 == o then,negative,0.0,0.38,0.13
91,(92) if V1 == o and V5 == b and V7 == b and V3 == o and V4 == b then,negative,0.0,0.38,0.13
92,(93) if V1 == o and V5 == b and V9 == o and V4 == o then,negative,0.0,0.38,0.13
93,(94) if V1 == o and V7 == o and V6 == o and V2 == o then,negative,0.0,0.38,0.13
94,(95) if V1 == o and V5 == o and V9 == b and V2 == o and V3 == o then,negative,0.0,0.38,0.13
95,(96) if V9 == x and V2 == x and V4 == x and V3 == x and V5 == x then,negative,0.0,0.38,0.13
96,(97) if V9 == x and V2 == x and V4 == x and V7 == x and V3 == x then,negative,0.0,0.38,0.13
97,(98) if V5 == o and V1 == o and V7 == o and V6 == o then,negative,0.0,0.38,0.13
98,(99) if V5 == o and V3 == o and V7 == b and V1 == o and V2 == o then,negative,0.0,0.38,0.13
99,(100) if V1 == x and V8 == x and V3 == x and V4 == x and V5 == x then,negative,0.0,0.38,0.13
100,(101) if V5 == o and V8 == o and V3 == o and V1 == o then,negative,0.0,0.38,0.13
101,(102) if V1 == x and V6 == x and V8 == x and V3 == x and V5 == x then,negative,0.0,0.38,0.13
102,(103) if V5 == o and V9 == x and V1 == x and V6 == x and V7 == x and V2 == x then,negative,0.0,0.38,0.13
103,(104) if V6 == o and V2 == o and V7 == o and V5 == o then,negative,0.0,0.38,0.13
104,(105) if V6 == x and V4 == x and V5 == x and V2 == x and V7 == x then,positive,0.0,0.2,0.13
105,(106) if V6 == x and V4 == x and V5 == x and V2 == x and V8 == x then,positive,0.0,0.2,0.13
106,(107) if V2 == x and V5 == x and V8 == x and V1 == x and V6 == x then,positive,0.0,0.2,0.13
107,(108) if V2 == x and V8 == o and V5 == b and V9 == x and V6 == b then,positive,0.0,0.2,0.13
108,(109) if V2 == x and V4 == b and V6 == b and V9 == x and V3 == x then,positive,0.0,0.2,0.13
109,(110) if V2 == x and V8 == o and V5 == b and V4 == b and V7 == x then,positive,0.0,0.2,0.13
110,(111) if V2 == x and V9 == x and V3 == x and V6 == x and V4 == x then,positive,0.0,0.2,0.13
111,(112) if V2 == x and V9 == x and V3 == x and V6 == x and V7 == x then,positive,0.0,0.2,0.13
112,(113) if V7 == x and V1 == x and V3 == x and V4 == x and V8 == x then,positive,0.0,0.2,0.13
113,(114) if V2 == x and V3 == x and V8 == o and V5 == b and V6 == b and V7 == x then,positive,0.0,0.2,0.13
114,(115) if V2 == x and V5 == x and V8 == x and V7 == x and V6 == x then,positive,0.0,0.2,0.13
115,(116) if V2 == x and V3 == x and V9 == x and V4 == b and V1 == b then,positive,0.0,0.2,0.13
116,(117) if V7 == x and V1 == x and V6 == x and V2 == b and V3 == b then,positive,0.0,0.2,0.13
117,(118) if V2 == x and V5 == x and V8 == x and V4 == x and V3 == x then,positive,0.0,0.2,0.13
118,(119) if V2 == x and V5 == x and V8 == x and V9 == x and V4 == x then,positive,0.0,0.2,0.13
119,(120) if V3 == x and V8 == o and V5 == o and V2 == b and V6 == o then,positive,0.0,0.2,0.13
120,(121) if V2 == x and V6 == b and V4 == b and V5 == b and V9 == b then,positive,0.0,0.2,0.13
121,(122) if V2 == x and V1 == b and V8 == b and V3 == x and V5 == x then,positive,0.0,0.2,0.13
122,(123) if V8 == x and V5 == x and V2 == x and V7 == x and V9 == b and V3 == b then,positive,0.0,0.2,0.13
123,(124) if V6 == x and V7 == x and V2 == b and V5 == x and V3 == o and V8 == b then,positive,0.0,0.2,0.13
124,(125) if V3 == x and V8 == o and V5 == o and V7 == o and V6 == o then,positive,0.0,0.2,0.13
125,(126) if V3 == x and V4 == b and V2 == b and V8 == o and V5 == o and V1 == o then,positive,0.0,0.2,0.13
126,(127) if V3 == x and V7 == o and V4 == b and V1 == o and V6 == b then,positive,0.0,0.2,0.13
127,(128) if V3 == x and V6 == x and V2 == x and V1 == x and V7 == x then,positive,0.0,0.2,0.13
128,(129) if V9 == x and V7 == b and V2 == x and V5 == b and V1 == o then,positive,0.0,0.2,0.13
129,(130) if V9 == x and V8 == x and V7 == b and V2 == x and V5 == x and V1 == b then,positive,0.0,0.2,0.13
130,(131) if V2 == o and V5 == o and V6 == o and V3 == o then,positive,0.0,0.2,0.13
131,(132) if V3 == x and V4 == x and V9 == b and V2 == x and V6 == b then,positive,0.0,0.2,0.13
132,(133) if V4 == b and V1 == x and V2 == x and V6 == b and V7 == x then,positive,0.0,0.2,0.13
133,(134) if V2 == o and V9 == b and V6 == o and V8 == b and V4 == o then,positive,0.0,0.2,0.13
134,(135) if V7 == o and V4 == b and V8 == o and V1 == o and V2 == b then,positive,0.0,0.2,0.13
135,(136) if V7 == o and V4 == b and V5 == b and V6 == o and V8 == o then,positive,0.0,0.2,0.13
136,(137) if V1 == b and V4 == x and V6 == o and V3 == b and V2 == x then,positive,0.0,0.2,0.13
137,(138) if V9 == b and V7 == x and V3 == b and V1 == o and V2 == o then,positive,0.0,0.2,0.13
138,(139) if V3 == x and V4 == x and V8 == x and V6 == x and V5 == x then,positive,0.0,0.2,0.13
139,(140) if V8 == b and V5 == b and V3 == b and V6 == b then,positive,0.0,0.2,0.13
140,(141) if V1 == b and V6 == b and V2 == o and V3 == o and V4 == o then,positive,0.0,0.2,0.13
141,(142) if V3 == x and V4 == x and V1 == b and V2 == b and V6 == o then,positive,0.0,0.2,0.13
142,(143) if V9 == b and V5 == o and V4 == b and V7 == o and V8 == o then,positive,0.0,0.2,0.13
143,(144) if V8 == b and V5 == b and V7 == b and V2 == b then,positive,0.0,0.2,0.13
144,(145) if V9 == b and V7 == x and V2 == x and V6 == b and V8 == x then,positive,0.0,0.2,0.13
145,(146) if V5 == o and V8 == b and V1 == b and V7 == o and V4 == o then,positive,0.0,0.2,0.13
146,(147) if V7 == o and V8 == x and V2 == o and V5 == o and V1 == o then,positive,0.0,0.2,0.13
147,(148) if V4 == b and V6 == b and V3 == o and V9 == o and V1 == x then,positive,0.0,0.2,0.13
